review_id,product_name,review_text,rating,sentiment
1,Phone Charger,fast delivery and fantastic experience,5,positive
2,Desk Lamp,super comfortable and easy to use,5,positive
3,Keyboard,amazing quality very satisfied with purchase,5,positive
4,Wireless Mouse,great design and very reliable,4,positive
5,Bluetooth Headphones,build quality is strong and durable,5,positive
6,Power Bank,five stars totally worth it,5,positive
7,USB Cable,value for money really happy with this item,4,positive
8,Smart Watch,excellent product works perfectly,5,positive
9,Laptop Stand,best purchase i made this year,4,positive
10,Webcam,amazing quality very satisfied with purchase,5,positive
11,Phone Charger,super comfortable and easy to use,4,positive
12,Desk Lamp,great design and very reliable,4,positive
13,Keyboard,battery life is great and performance is smooth,5,positive
14,Wireless Mouse,fast delivery and fantastic experience,4,positive
15,Bluetooth Headphones,great design and very reliable,5,positive
16,Power Bank,excellent product works perfectly,4,positive
17,USB Cable,super comfortable and easy to use,4,positive
18,Smart Watch,value for money really happy with this item,5,positive
19,Laptop Stand,build quality is strong and durable,4,positive
20,Webcam,five stars totally worth it,4,positive
21,Phone Charger,battery life is great and performance is smooth,4,positive
22,Desk Lamp,five stars totally worth it,5,positive
23,Keyboard,build quality is strong and durable,4,positive
24,Wireless Mouse,super comfortable and easy to use,5,positive
25,Bluetooth Headphones,excellent product works perfectly,5,positive
26,Power Bank,great design and very reliable,5,positive
27,USB Cable,five stars totally worth it,4,positive
28,Smart Watch,amazing quality very satisfied with purchase,5,positive
29,Laptop Stand,super comfortable and easy to use,4,p
